ts,sessionId,level,itemInSession,city,zip,state,userAgent,lon,lat,userId,lastName,firstName,gender,registration,success
1618390710000,8819,paid,41,Texas City,77591,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36""",-94.997254,29.399203,14.0,Morales,Jordon,M,1616086800000.0,True
1618391280000,8479,free,1,South Plainfield,07080,NJ,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,-74.4148,40.574413,286.0,Garza,Anna,F,1616086800000.0,True
1618396946000,9600,free,7,Chicago,60631,IL,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-87.813003,41.994855,228.0,Moore,Madeline,F,1616086800000.0,True
1618397646000,7001,free,2,West Newbury,01985,MA,"""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/34.0.1847.116 Chrome/34.0.1847.116 Safari/537.36""",-70.964411,42.799516,771.0,Barnes,Kadence,F,1616086800000.0,True
1618398985000,9118,free,1,Tarpon Springs,34689,FL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14""",-82.759877,28.148306,550.0,Johnson,Christopher,M,1616086800000.0,True
1618400751000,9667,paid,1,Tomball,77377,TX,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-95.681504,30.061727,8.0,Bonilla,Alejandro,M,1616086800000.0,True
1618402445000,9374,paid,1,Lutz,33558,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-82.511384,28.165519,,,,,,False
1618402446000,9374,paid,2,Lutz,33558,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-82.511384,28.165519,,,,,,False
1618402450000,9374,paid,3,Lutz,33558,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-82.511384,28.165519,,,,,,False
1618403536000,9242,free,2,Macon,31204,GA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-83.674775,32.848513,394.0,Nguyen,Lamar,M,1616086800000.0,True
1618405800000,6375,free,4,La Mirada,90638,CA,"""Mozilla/5.0 (iPad; CPU OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53""",-118.008961,33.902045,976.0,Reid,Chloe,F,1616086800000.0,True
