artist,song,duration,ts,sessionId,auth,level,itemInSession,city,zip,state,userAgent,lon,lat,userId,lastName,firstName,gender,registration
Julian Lennon,Too Late For Goodbyes,210.46812,1618664765000,10613,Logged In,paid,16,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Gigi D'agostino,Bla Bla Bla (Abbentenza In FM Mix),260.98892,1618664897000,10571,Logged In,paid,8,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Hypasonic,Whatever,312.842,1618664968000,10655,Logged In,paid,6,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Goldfinger,King For A Day,223.18974,1618664975000,10613,Logged In,paid,17,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Pet Shop Boys With Dusty Springfield,What Have I Done To Deserve This? (2001 Digital Remaster),258.19382,1618665034000,9290,Logged In,free,0,Carnesville,30521,GA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-83.292322,34.362448,422,Williamson,Zavion,M,1616086800000
Los Updates,Aviador,298.70975,1618665149000,10646,Logged In,free,1,Wichita,67204,KS,Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0,-97.360492,37.767146,429,Blankenship,Reagan,F,1616086800000
Danko Jones,Heartbreak'S A Blessing,174.05342,1618665157000,10571,Logged In,paid,9,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Vince Guaraldi Trio,Linus & Lucy,184.58076,1618665198000,10613,Logged In,paid,18,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Ray Charles / The Count Basie Orchestra,Let the Good Times Roll,177.03139,1618665280000,10655,Logged In,paid,7,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Five Iron Frenzy,Canada,236.09424,1618665331000,10571,Logged In,paid,10,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
Aphex Twin,Delphium,329.273,1618665382000,10613,Logged In,paid,19,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Hieroglyphics,Classic,188.02893,1618665457000,10655,Logged In,paid,8,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Eric Clapton,Tears In Heaven,271.80362,1618665567000,10571,Logged In,paid,11,Jennings,70546,LA,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-92.673552,30.266368,559,Rodgers,Chase,M,1616086800000
The Animals,Bury My Body,172.72118,1618665645000,10655,Logged In,paid,10,Ramsey,62080,IL,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",-89.10422,39.137908,355,Ponce,Holden,M,1616086800000
Rise Against,Swing Life Away,200.12363,1618665711000,10613,Logged In,paid,20,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312,Little,Kenneth,M,1616086800000
Damien Rice and Lisa Hannigan,Unplayed Piano (Chris Lord-Alge Mix),228.62321,1618665717000,10567,Logged In,free,0,Carthage,64836,MO,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-94.279255,37.189255,940,Valdez,Lanie,F,1616086800000
