ts,sessionId,page,auth,method,status,level,itemInSession,city,zip,state,userAgent,lon,lat,userId,lastName,firstName,gender,registration,artist,song,duration
1618244324000,9074,NextSong,Logged In,PUT,200,paid,11,Wendell,83355,ID,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,-114.722206,42.757435,452.0,Johnson,Evan,M,1616086800000.0,Katy Perry,I Kissed A Girl,179.40852
1618244325000,9043,NextSong,Logged In,PUT,200,paid,32,North Aurora,60542,IL,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-88.352556,41.809609,845.0,Stafford,Demaria,F,1616086800000.0,Skillet,The Older I Get (Album Version),218.3571
1618244341000,9008,NextSong,Logged In,PUT,200,paid,47,Winnsboro,75494,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-95.25986,32.917192,291.0,Johnson,Emely,F,1616086800000.0,Dino Merlin,Na Vi,340.61017
1618244351000,7705,NextSong,Logged In,PUT,200,paid,27,Groveland,01834,MA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,-71.015935,42.7539,542.0,Fletcher,Gabriel,M,1616086800000.0,Billy Idol,Eyes Without A Face,249.41669
1618244358000,9038,NextSong,Logged In,PUT,200,paid,10,San Jose,95135,CA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-121.68836,37.286454,852.0,Weber,Charlie,M,1616086800000.0,The Long Blondes,Nostalgia,192.10403
1618244361000,8934,NextSong,Logged In,PUT,200,paid,20,Santa Clara,95051,CA,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-121.984376,37.348651,433.0,Snow,Andre,M,1616086800000.0,Three Days Grace,Drown,209.55383
1618244364000,8577,NextSong,Logged In,PUT,200,paid,35,Devine,78016,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2""",-98.967448,29.17158,241.0,Powell,Joseph,M,1616086800000.0,Edward Sharpe & The Magnetic Zeros,Home,306.31137
1618244366000,9014,NextSong,Logged In,PUT,200,paid,43,Flushing,48433,MI,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",-83.867227,43.075348,938.0,Bush,Elijah,M,1616086800000.0,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),277.15872
1618244375000,9024,NextSong,Logged In,PUT,200,paid,51,Sunland Park,88063,NM,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-106.599107,31.817964,312.0,Little,Kenneth,M,1616086800000.0,Twista feat. Kayne West & Jamie Foxx,Slow Jamz (Feat. Kanye West & Jamie Foxx) (Edited Album Version),212.5579
1618244404000,8255,NextSong,Logged In,PUT,200,paid,23,Odessa,79762,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-102.357792,31.925304,949.0,Warner,Colby,M,1616086800000.0,Alberto Plaza,Ocurre,255.63383
